id,title,presenter,duration
1,Welcome Meow-remarks,Felix,15
2,The Future of Napping,Bradly,30
3,Chasing the Red Dot: Myths and Realities,Milhouse,45
4,Break – Groom & Stretch,ALL,15
5,Purrfect Pitch: Vocal Techniques for Getting What You Want,Felix,40
6,Advanced Box Theory,Thomas,35
7,Lunch – Tuna Buffet & Grass Shoots,ALL,60
8,Keyboard Walking 101: Timing is Everything,Audrey,25
9,Tuna Economics: Maximizing Snack ROI,Bradly,20
10,Invisibility Cloaks and Blankets: A Scientific Inquiry,Milhouse,30
11,Break – Birdwatching Interlude,ALL,20
12,Claw Sharpness and Sofa Dynamics,Felix,50
13,Zoomies Unleashed: Harnessing Your Inner Chaos,Thomas,30
14,Catnip & Chill: Managing Feline Stress,Audrey,25
15,The Art of Ignoring Commands,Thomas,30
16,Panel: Why We Knock Things Off Tables – A Roundtable Discussion,Bradly;Milhouse;Felix,30
17,Nighttime Zoomies: Strategy or Instinct?,Milhouse,40
16,Dinner – Wet Food Bar & Cream Treats,ALL,60
19,Invisibility Cloaks and Blankets: Part 2,Milhouse,30
20,Cat Tree Diplomacy: Territory & Coexistence,Thomas,25
21,Closing Meow-nifesto,Felix,20
